"","Time","AgeGrpStart","ISO3_code","PopTotal"
"1",2024,0,"",654229.922
"2",2024,5,"",681320.705
"3",2024,10,"",674071.205
"4",2024,15,"",639522.23
"5",2024,20,"",609278.572
"6",2024,25,"",592013.977
"7",2024,30,"",601187.337
"8",2024,35,"",582303.747
"9",2024,40,"",528204.982
"10",2024,45,"",474833.434
"11",2024,50,"",463760.366
"12",2024,55,"",416774.738
"13",2024,60,"",343745.708
"14",2024,65,"",291084.523
"15",2024,70,"",223117.421
"16",2024,75,"",144100.413
"17",2024,80,"",89084.823
"18",2024,85,"",48701.169
"19",2024,90,"",19224.399
"20",2024,95,"",4808.979
"21",2024,100,"",702.25
"22",2024,0,"",185778.275
"23",2024,5,"",166045.995
"24",2024,10,"",149840.609
"25",2024,15,"",131314.919
"26",2024,20,"",110986.711
"27",2024,25,"",93711.326
"28",2024,30,"",80277.68
"29",2024,35,"",68661.095
"30",2024,40,"",56912.551
"31",2024,45,"",44959.776
"32",2024,50,"",35949.164
"33",2024,55,"",28425.702
"34",2024,60,"",21503.33
"35",2024,65,"",15456.229
"36",2024,70,"",10441.868
"37",2024,75,"",6312.039
"38",2024,80,"",3104.14
"39",2024,85,"",1153.65
"40",2024,90,"",320.104
"41",2024,95,"",65.637
"42",2024,100,"",10.215
"43",2024,0,"",56620.185
"44",2024,5,"",57875.353
"45",2024,10,"",55603.167
"46",2024,15,"",49155.26
"47",2024,20,"",44936.114
"48",2024,25,"",44058.363
"49",2024,30,"",43640.661
"50",2024,35,"",42085.856
"51",2024,40,"",38483.822
"52",2024,45,"",33058.358
"53",2024,50,"",27528.298
"54",2024,55,"",22918.878
"55",2024,60,"",17815.741
"56",2024,65,"",13213.302
"57",2024,70,"",9132.796
"58",2024,75,"",5561.045
"59",2024,80,"",2975.423
"60",2024,85,"",1368.427
"61",2024,90,"",406.224
"62",2024,95,"",74.783
"63",2024,100,"",7.747
"64",2024,0,"",183350.392
"65",2024,5,"",187950.402
"66",2024,10,"",191731.478
"67",2024,15,"",190203.081
"68",2024,20,"",188287.882
"69",2024,25,"",178496.47
"70",2024,30,"",169739.02
"71",2024,35,"",157945.353
"72",2024,40,"",139377.673
"73",2024,45,"",120275.24
"74",2024,50,"",104638.679
"75",2024,55,"",88716.039
"76",2024,60,"",73964.112
"77",2024,65,"",57937.216
"78",2024,70,"",40631.102
"79",2024,75,"",23224.791
"80",2024,80,"",12793.68
"81",2024,85,"",5733.999
"82",2024,90,"",1808.164
"83",2024,95,"",381.482
"84",2024,100,"",48.776
"85",2024,0,"",121847.887
"86",2024,5,"",153153.882
"87",2024,10,"",156953.355
"88",2024,15,"",148608.265
"89",2024,20,"",144928.569
"90",2024,25,"",152514.069
"91",2024,30,"",176968.345
"92",2024,35,"",181705.579
"93",2024,40,"",165959.161
"94",2024,45,"",157129.863
"95",2024,50,"",180361.163
"96",2024,55,"",166401.335
"97",2024,60,"",125144.133
"98",2024,65,"",113136.727
"99",2024,70,"",89006.255
"100",2024,75,"",55230.677
"101",2024,80,"",34250.919
"102",2024,85,"",18930.54
"103",2024,90,"",7479.482
"104",2024,95,"",1843.893
"105",2024,100,"",271.331
"106",2024,0,"",48068.4
"107",2024,5,"",51228.607
"108",2024,10,"",52400.522
"109",2024,15,"",52682.527
"110",2024,20,"",53338.6
"111",2024,25,"",53350.491
"112",2024,30,"",52130.42
"113",2024,35,"",50070.114
"114",2024,40,"",46856.803
"115",2024,45,"",42328.553
"116",2024,50,"",37915
"117",2024,55,"",33916.305
"118",2024,60,"",29118.792
"119",2024,65,"",23112.069
"120",2024,70,"",17274.551
"121",2024,75,"",11551.439
"122",2024,80,"",7107.707
"123",2024,85,"",3465.779
"124",2024,90,"",1235.006
"125",2024,95,"",303.538
